date,description,amount,type
2024-01-01,Freelance Consulting Inflow Credit,50000.0,Credit
2024-01-02,Apartment Rent Payment Landlord,28000.0,Debit
2024-01-05,Personal Loan EMI Debit,14500.0,Debit
2024-01-08,Credit Card Minimum Payment,12000.0,Debit
2024-01-12,Electricity and Utility Bills,3400.0,Debit
2024-01-16,Swiggy and Zomato Food Delivery,4200.0,Debit
2024-01-20,Apollo Pharmacy Chemist Medical,2800.0,Debit
2024-01-25,Car Repair Workshop Service,6500.0,Debit
2024-01-28,Mobile Bill and Broadband Recharge,1800.0,Debit
2024-02-01,Freelance Consulting Inflow Credit,50000.0,Credit
2024-02-02,Apartment Rent Payment Landlord,28000.0,Debit
2024-02-05,Personal Loan EMI Debit,14500.0,Debit
2024-02-08,Credit Card Minimum Payment,12000.0,Debit
2024-02-12,Electricity and Utility Bills,3400.0,Debit
2024-02-16,Swiggy and Zomato Food Delivery,4200.0,Debit
2024-02-20,Apollo Pharmacy Chemist Medical,2800.0,Debit
2024-02-25,Car Repair Workshop Service,6500.0,Debit
2024-02-28,Mobile Bill and Broadband Recharge,1800.0,Debit
2024-03-01,Freelance Consulting Inflow Credit,50000.0,Credit
2024-03-02,Apartment Rent Payment Landlord,28000.0,Debit
2024-03-05,Personal Loan EMI Debit,14500.0,Debit
2024-03-08,Credit Card Minimum Payment,12000.0,Debit
2024-03-12,Electricity and Utility Bills,3400.0,Debit
2024-03-16,Swiggy and Zomato Food Delivery,4200.0,Debit
2024-03-20,Apollo Pharmacy Chemist Medical,2800.0,Debit
2024-03-25,Car Repair Workshop Service,6500.0,Debit
2024-03-28,Mobile Bill and Broadband Recharge,1800.0,Debit
2024-04-01,Freelance Consulting Inflow Credit,50000.0,Credit
2024-04-02,Apartment Rent Payment Landlord,28000.0,Debit
2024-04-05,Personal Loan EMI Debit,14500.0,Debit
2024-04-08,Credit Card Minimum Payment,12000.0,Debit
2024-04-12,Electricity and Utility Bills,3400.0,Debit
2024-04-16,Swiggy and Zomato Food Delivery,4200.0,Debit
2024-04-20,Apollo Pharmacy Chemist Medical,2800.0,Debit
2024-04-25,Car Repair Workshop Service,6500.0,Debit
2024-04-28,Mobile Bill and Broadband Recharge,1800.0,Debit
2024-05-01,Freelance Consulting Inflow Credit,50000.0,Credit
2024-05-02,Apartment Rent Payment Landlord,28000.0,Debit
2024-05-05,Personal Loan EMI Debit,14500.0,Debit
2024-05-08,Credit Card Minimum Payment,12000.0,Debit
2024-05-12,Electricity and Utility Bills,3400.0,Debit
2024-05-16,Swiggy and Zomato Food Delivery,4200.0,Debit
2024-05-20,Apollo Pharmacy Chemist Medical,2800.0,Debit
2024-05-25,Car Repair Workshop Service,6500.0,Debit
2024-05-28,Mobile Bill and Broadband Recharge,1800.0,Debit
2024-06-01,Freelance Consulting Inflow Credit,50000.0,Credit
2024-06-02,Apartment Rent Payment Landlord,28000.0,Debit
2024-06-05,Personal Loan EMI Debit,14500.0,Debit
2024-06-08,Credit Card Minimum Payment,12000.0,Debit
2024-06-12,Electricity and Utility Bills,3400.0,Debit
2024-06-16,Swiggy and Zomato Food Delivery,4200.0,Debit
2024-06-20,Apollo Pharmacy Chemist Medical,2800.0,Debit
2024-06-25,Car Repair Workshop Service,6500.0,Debit
2024-06-28,Mobile Bill and Broadband Recharge,1800.0,Debit
2024-07-01,Freelance Consulting Inflow Credit,50000.0,Credit
2024-07-02,Apartment Rent Payment Landlord,28000.0,Debit
2024-07-05,Personal Loan EMI Debit,14500.0,Debit
2024-07-08,Credit Card Minimum Payment,12000.0,Debit
2024-07-12,Electricity and Utility Bills,3400.0,Debit
2024-07-16,Swiggy and Zomato Food Delivery,4200.0,Debit
2024-07-20,Apollo Pharmacy Chemist Medical,2800.0,Debit
2024-07-25,Car Repair Workshop Service,6500.0,Debit
2024-07-28,Mobile Bill and Broadband Recharge,1800.0,Debit
2024-08-01,Freelance Consulting Inflow Credit,50000.0,Credit
2024-08-02,Apartment Rent Payment Landlord,28000.0,Debit
2024-08-05,Personal Loan EMI Debit,14500.0,Debit
2024-08-08,Credit Card Minimum Payment,12000.0,Debit
2024-08-12,Electricity and Utility Bills,3400.0,Debit
2024-08-16,Swiggy and Zomato Food Delivery,4200.0,Debit
2024-08-20,Apollo Pharmacy Chemist Medical,2800.0,Debit
2024-08-25,Car Repair Workshop Service,6500.0,Debit
2024-08-28,Mobile Bill and Broadband Recharge,1800.0,Debit
2024-09-01,Freelance Consulting Inflow Credit,50000.0,Credit
2024-09-02,Apartment Rent Payment Landlord,28000.0,Debit
2024-09-05,Personal Loan EMI Debit,14500.0,Debit
2024-09-08,Credit Card Minimum Payment,12000.0,Debit
2024-09-12,Electricity and Utility Bills,3400.0,Debit
2024-09-16,Swiggy and Zomato Food Delivery,4200.0,Debit
2024-09-20,Apollo Pharmacy Chemist Medical,2800.0,Debit
2024-09-25,Car Repair Workshop Service,6500.0,Debit
2024-09-28,Mobile Bill and Broadband Recharge,1800.0,Debit
2024-10-01,Freelance Consulting Inflow Credit,50000.0,Credit
2024-10-02,Apartment Rent Payment Landlord,28000.0,Debit
2024-10-05,Personal Loan EMI Debit,14500.0,Debit
2024-10-08,Credit Card Minimum Payment,12000.0,Debit
2024-10-12,Electricity and Utility Bills,3400.0,Debit
2024-10-16,Swiggy and Zomato Food Delivery,4200.0,Debit
2024-10-20,Apollo Pharmacy Chemist Medical,2800.0,Debit
2024-10-25,Car Repair Workshop Service,6500.0,Debit
2024-10-28,Mobile Bill and Broadband Recharge,1800.0,Debit
2024-11-01,Freelance Consulting Inflow Credit,50000.0,Credit
2024-11-02,Apartment Rent Payment Landlord,28000.0,Debit
2024-11-05,Personal Loan EMI Debit,14500.0,Debit
2024-11-08,Credit Card Minimum Payment,12000.0,Debit
2024-11-12,Electricity and Utility Bills,3400.0,Debit
2024-11-16,Swiggy and Zomato Food Delivery,4200.0,Debit
2024-11-20,Apollo Pharmacy Chemist Medical,2800.0,Debit
2024-11-25,Car Repair Workshop Service,6500.0,Debit
2024-11-28,Mobile Bill and Broadband Recharge,1800.0,Debit
2024-12-01,Freelance Consulting Inflow Credit,50000.0,Credit
2024-12-02,Apartment Rent Payment Landlord,28000.0,Debit
2024-12-05,Personal Loan EMI Debit,14500.0,Debit
2024-12-08,Credit Card Minimum Payment,12000.0,Debit
