date,description,amount,type
2024-03-01,Salary Credit - March 2024,85000,Credit
2024-03-02,Zomato Order - Dinner,450,Debit
2024-03-03,Netflix Subscription,799,Debit
2024-03-04,Ola Cab - Office Commute,180,Debit
2024-03-05,Metro Mart Grocery,2300,Debit
2024-03-06,Airtel Postpaid Bill,999,Debit
2024-03-07,Amazon Shopping - Books,1250,Debit
2024-03-08,Swiggy Lunch Order,380,Debit
2024-03-10,ATM Withdrawal,5000,Debit
2024-03-11,Apollo Pharmacy,650,Debit
2024-03-12,Uber Cab - Airport Drop,850,Debit
2024-03-13,Freelance Payment - Website Project,15000,Credit
2024-03-14,Electricity Bill - March,1800,Debit
2024-03-15,Spotify Premium,179,Debit
2024-03-16,Zomato Order - Lunch,320,Debit
2024-03-17,Petrol - Fuel Station,2200,Debit
2024-03-18,Flipkart Order - Headphones,3499,Debit
2024-03-19,Cafe Coffee Day,220,Debit
2024-03-20,Savings Transfer - Emergency Fund,10000,Debit
2024-03-21,Swiggy Order - Weekend,560,Debit
2024-03-22,Metro Mart Grocery,1850,Debit
2024-03-23,Ola Cab - Evening,140,Debit
2024-03-24,Myntra - Casual Wear,2100,Debit
2024-03-25,Jio Broadband Bill,799,Debit
2024-03-26,Cashback Reward - Credit Card,250,Credit
2024-03-26,Health Insurance Premium,1500,Debit
2024-03-27,Dominos Pizza - Weekend,680,Debit
2024-03-28,Amazon Prime Annual,1499,Debit
2024-03-29,Uber Cab - Night Return,320,Debit
2024-03-30,Zomato Order - Dinner,410,Debit
